Word,Frequency
back,1938
one,1936
like,1736
said,1646
get,1254
around,1252
time,1024
two,984
no,948
alejo,928
eyes,920
wara,884
still,874
see,852
man,838
way,806
going,802
looked,752
little,742
go,724
even,720
got,710
away,686
head,656
know,642
made,640
face,640
guy,632
make,612
door,610
right,608
left,606
hand,584
something,582
much,576
didnt,576
saw,564
really,526
old,524
side,522
never,520
felt,512
next,510
turned,502
thought,498
long,488
take,482
took,476
johnny,476
well,472
