Word,Frequency
gabe,572
tarren,524
like,420
back,418
eyes,240
says,228
around,226
know,220
energy,216
one,208
away,200
dont,196
face,192
got,192
even,190
little,184
say,170
voice,170
get,166
no,164
body,156
long,154
hands,148
something,140
still,136
across,136
think,134
time,134
gabes,134
doesnt,132
head,130
cant,126
tarrens,122
way,120
room,118
going,116
take,114
door,112
hes,110
keep,106
find,104
hand,100
see,100
make,100
open,98
good,98
looks,98
never,96
look,94
go,94
