Word,Frequency
manny,954
said,902
back,812
one,744
like,730
billy,624
time,578
old,564
know,552
get,548
no,504
got,500
man,458
see,440
go,438
never,426
around,404
still,394
dont,392
didnt,388
way,382
looked,372
across,366
crystal,364
big,348
something,348
going,344
looking,328
place,324
city,312
good,308
right,306
two,302
came,300
went,296
long,278
away,272
small,268
day,264
look,260
little,258
cassey,258
anything,254
find,252
youre,252
made,242
turned,240
walked,238
swenson,238
come,236
